v0,v1,kind,nf,naf,paf,pfr,pafr
init,1.0,init,45,45,100.0,77.77,77.77
1.0,1.1,minor,46,34,73.91,8.69,11.76
1.1,1.2,minor,58,41,70.68,0.0,0.0
1.2,1.3,minor,72,65,90.27,4.16,4.61
1.3,1.4,minor,72,52,72.22,0.0,0.0
1.4,1.5,minor,68,54,79.41,0.0,0.0
