v0,v1,kind,nf,naf,paf,pfr,pafr
init,1.0,init,4,4,100.0,100.0,100.0
1.0,1.1,minor,12,12,100.0,0.0,0.0
1.1,1.2,minor,8,8,100.0,62.5,62.5
1.2,1.3,minor,11,10,90.9,0.0,0.0
1.3,1.4,minor,16,16,100.0,6.25,6.25
1.4,1.5,minor,19,19,100.0,15.78,15.78
1.5,1.6,minor,21,19,90.47,0.0,0.0
1.6,1.7,minor,22,18,81.81,0.0,0.0
1.7,1.8,minor,26,26,100.0,0.0,0.0
1.8,1.9,minor,26,23,88.46,0.0,0.0
1.9,2.0,major,29,28,96.55,0.0,0.0
2.0,2.1,minor,81,81,100.0,7.4,7.4
