fileName,active,#commits,#commitsWithRename,diff(#commitsWR-#commits)
core/src/main/java/hudson/init/InitMilestone.java,0,0,0,0
core/src/main/java/hudson/init/InitReactorListener.java,0,0,0,0
core/src/main/java/hudson/init/InitStrategy.java,0,0,0,0
core/src/main/java/hudson/init/package-info.java,0,0,0,0
core/src/main/java/hudson/Launcher.java,0,0,0,0
core/src/main/java/hudson/LauncherDecorator.java,0,0,0,0
core/src/main/java/hudson/lifecycle/Lifecycle.java,0,0,0,0
core/src/main/java/hudson/lifecycle/RestartNotSupportedException.java,0,0,0,0
core/src/main/java/hudson/lifecycle/SolarisSMFLifecycle.java,0,0,0,0
core/src/main/java/hudson/lifecycle/UnixLifecycle.java,1,1,1,0
core/src/main/java/hudson/lifecycle/WindowsInstallerLink.java,0,0,0,0
core/src/main/java/hudson/lifecycle/WindowsServiceLifecycle.java,0,0,0,0
core/src/main/java/hudson/lifecycle/WindowsSlaveInstaller.java,0,0,0,0
core/src/main/java/hudson/LocalPluginManager.java,1,1,1,0
core/src/main/java/hudson/logging/LogRecorder.java,0,0,0,0
core/src/main/java/hudson/logging/LogRecorderManager.java,1,1,1,0
core/src/main/java/hudson/logging/WeakLogHandler.java,0,0,0,0
core/src/main/java/hudson/Lookup.java,0,0,0,0
core/src/main/java/hudson/Main.java,1,2,2,0
core/src/main/java/hudson/markup/MarkupFormatter.java,1,1,1,0
core/src/main/java/hudson/markup/MarkupFormatterDescriptor.java,0,0,0,0
core/src/main/java/hudson/markup/RawHtmlMarkupFormatter.java,1,3,3,0
core/src/main/java/hudson/MarkupText.java,0,0,0,0
core/src/main/java/hudson/matrix/Axis.java,0,0,0,0
core/src/main/java/hudson/matrix/AxisDescriptor.java,0,0,0,0
core/src/main/java/hudson/matrix/AxisList.java,0,0,0,0
core/src/main/java/hudson/matrix/Combination.java,0,0,0,0
core/src/main/java/hudson/matrix/DefaultAxisDescriptor.java,0,0,0,0
core/src/main/java/hudson/matrix/JDKAxis.java,0,0,0,0
core/src/main/java/hudson/matrix/LabelAxis.java,0,0,0,0
core/src/main/java/hudson/matrix/LabelExpAxis.java,0,0,0,0
core/src/main/java/hudson/matrix/Layouter.java,0,0,0,0
core/src/main/java/hudson/matrix/LinkedLogRotator.java,0,0,0,0
core/src/main/java/hudson/matrix/listeners/MatrixBuildListener.java,0,0,0,0
core/src/main/java/hudson/matrix/MatrixAggregatable.java,1,2,2,0
core/src/main/java/hudson/matrix/MatrixAggregator.java,0,0,0,0
core/src/main/java/hudson/matrix/MatrixBuild.java,1,4,4,0
core/src/main/java/hudson/matrix/MatrixConfiguration.java,0,0,0,0
core/src/main/java/hudson/matrix/MatrixProject.java,0,0,0,0
core/src/main/java/hudson/matrix/MatrixRun.java,1,1,1,0
core/src/main/java/hudson/matrix/TextAxis.java,0,0,0,0
core/src/main/java/hudson/model/AbstractBuild.java,1,5,5,0
core/src/main/java/hudson/model/AbstractCIBase.java,0,0,0,0
core/src/main/java/hudson/model/AbstractDescribableImpl.java,0,0,0,0
core/src/main/java/hudson/model/AbstractItem.java,1,4,4,0
core/src/main/java/hudson/model/AbstractModelObject.java,0,0,0,0
core/src/main/java/hudson/model/AbstractProject.java,1,5,5,0
core/src/main/java/hudson/model/AbstractStatusIcon.java,0,0,0,0
core/src/main/java/hudson/model/Action.java,0,0,0,0
core/src/main/java/hudson/model/Actionable.java,0,0,0,0
core/src/main/java/hudson/model/AdministrativeMonitor.java,0,0,0,0
core/src/main/java/hudson/model/AllView.java,0,0,0,0
core/src/main/java/hudson/model/AperiodicWork.java,1,1,1,0
core/src/main/java/hudson/model/Api.java,0,0,0,0
core/src/main/java/hudson/model/AsyncAperiodicWork.java,0,0,0,0
core/src/main/java/hudson/model/AsyncPeriodicWork.java,0,0,0,0
core/src/main/java/hudson/model/AutoCompletionCandidates.java,0,0,0,0
core/src/main/java/hudson/model/BallColor.java,0,0,0,0
core/src/main/java/hudson/model/BooleanParameterDefinition.java,0,0,0,0
core/src/main/java/hudson/model/BooleanParameterValue.java,0,0,0,0
core/src/main/java/hudson/model/Build.java,1,1,1,0
