fileName,active,#commits,#commitsWithRename,diff(#commitsWR-#commits)
src/Util/Filesystem.php,1,1,4,3
src/Util/Filter.php,1,2,12,10
src/Util/Getopt.php,1,2,5,3
src/Util/GlobalState.php,1,2,20,18
src/Util/InvalidArgumentHelper.php,1,2,7,5
src/Util/Log/JSON.php,1,4,14,10
src/Util/Log/JUnit.php,1,4,11,7
src/Util/Log/TAP.php,1,3,11,8
src/Util/PHP.php,1,10,24,14
src/Util/PHP/Default.php,1,5,9,4
src/Util/PHP/Windows.php,1,3,8,5
src/Util/Printer.php,1,2,5,3
src/Util/String.php,1,2,5,3
src/Util/Test.php,1,6,22,16
src/Util/TestDox/NamePrettifier.php,1,5,8,3
src/Util/TestDox/ResultPrinter.php,1,3,9,6
src/Util/TestDox/ResultPrinter/HTML.php,1,2,6,4
src/Util/TestDox/ResultPrinter/Text.php,1,2,5,3
src/Util/TestSuiteIterator.php,1,2,5,3
src/Util/Type.php,1,1,19,18
src/Util/XML.php,1,2,17,15
