period;pafr
init - 1.390;10
1.390 - 1.400;3
1.400 - 1.410;0
1.410 - 1.420;1
1.420 - 1.430;5
1.430 - 1.440;0
1.440 - 1.450;0
1.450 - 1.460;0
1.460 - 1.470;1
1.470 - 1.480;4
1.480 - 1.490;3
1.490 - 1.500;6
1.500 - 1.510;1
1.510 - 1.520;0
1.520 - 1.530;0
1.530 - 1.540;0
1.540 - 1.550;0
