period;pafr
init - 1.0;100
1.0 - 1.1;0
1.1 - 1.2;63
1.2 - 1.3;0
1.3 - 1.4;6
1.4 - 1.5;16
1.5 - 1.6;0
1.6 - 1.7;0
1.7 - 1.8;0
1.8 - 1.9;0
1.9 - 2.0;0
2.0 - 2.1;8
